Statistic,Value
simSeconds,0.233264
hostMemory,408121280
simInsts,1125735052
system.cpu_cluster.cpus.cpi,0.828479
system.cpu_cluster.cpus.ipc,1.207031
system.cpu_cluster.cpus.statFuBusy::MemRead,35762725
system.cpu_cluster.cpus.statFuBusy::MemWrite,395390
system.cpu_cluster.cpus.statIssuedInstType_0::MemRead,356317368
system.cpu_cluster.cpus.statIssuedInstType_0::MemWrite,109639541
system.cpu_cluster.cpus.fuBusy,192577645
system.cpu_cluster.cpus.fuBusyRate,0.165281
system.cpu_cluster.cpus.MemDepUnit__0.insertedLoads,355076861
system.cpu_cluster.cpus.MemDepUnit__0.insertedStores,109898707
system.cpu_cluster.cpus.MemDepUnit__0.conflictingLoads,904863
system.cpu_cluster.cpus.MemDepUnit__0.conflictingStores,643670
system.cpu_cluster.cpus.commitStats0.cpi,0.828479
system.cpu_cluster.cpus.commitStats0.ipc,1.207031
system.cpu_cluster.cpus.dcache.demandHits::cpu_cluster.cpus.data,428752885
system.cpu_cluster.cpus.dcache.demandHits::total,428752885
system.cpu_cluster.cpus.dcache.overallHits::cpu_cluster.cpus.data,428832712
system.cpu_cluster.cpus.dcache.overallHits::total,428832712
system.cpu_cluster.cpus.dcache.demandMisses::cpu_cluster.cpus.data,32714461
system.cpu_cluster.cpus.dcache.demandMisses::total,32714461
system.cpu_cluster.cpus.dcache.overallMisses::cpu_cluster.cpus.data,32722842
system.cpu_cluster.cpus.dcache.overallMisses::total,32722842
system.cpu_cluster.cpus.dcache.demandAccesses::cpu_cluster.cpus.data,461467346
system.cpu_cluster.cpus.dcache.demandAccesses::total,461467346
system.cpu_cluster.cpus.dcache.overallAccesses::cpu_cluster.cpus.data,461555554
system.cpu_cluster.cpus.dcache.overallAccesses::total,461555554
system.cpu_cluster.cpus.dcache.replacements,25658211
system.cpu_cluster.cpus.dcache.tags.tagsInUse,1024
system.cpu_cluster.cpus.icache.demandHits::cpu_cluster.cpus.inst,115883213
system.cpu_cluster.cpus.icache.demandHits::total,115883213
system.cpu_cluster.cpus.icache.overallHits::cpu_cluster.cpus.inst,115883213
system.cpu_cluster.cpus.icache.overallHits::total,115883213
system.cpu_cluster.cpus.icache.demandMisses::cpu_cluster.cpus.inst,401458
system.cpu_cluster.cpus.icache.demandMisses::total,401458
system.cpu_cluster.cpus.icache.overallMisses::cpu_cluster.cpus.inst,401458
system.cpu_cluster.cpus.icache.overallMisses::total,401458
system.cpu_cluster.cpus.icache.demandAccesses::cpu_cluster.cpus.inst,116284671
system.cpu_cluster.cpus.icache.demandAccesses::total,116284671
system.cpu_cluster.cpus.icache.overallAccesses::cpu_cluster.cpus.inst,116284671
system.cpu_cluster.cpus.icache.overallAccesses::total,116284671
system.cpu_cluster.cpus.icache.replacements,357895
system.cpu_cluster.cpus.icache.tags.tagsInUse,1024
system.cpu_cluster.cpus.mmu.dtb.readHits,354246505
system.cpu_cluster.cpus.mmu.dtb.readMisses,23505
system.cpu_cluster.cpus.mmu.dtb.writeHits,109489658
system.cpu_cluster.cpus.mmu.dtb.writeMisses,4789
system.cpu_cluster.cpus.mmu.dtb.inserts,230
system.cpu_cluster.cpus.mmu.dtb.flushTlb,143
system.cpu_cluster.cpus.mmu.dtb.flushedEntries,139
system.cpu_cluster.cpus.mmu.dtb.readAccesses,354270010
system.cpu_cluster.cpus.mmu.dtb.writeAccesses,109494447
system.cpu_cluster.cpus.mmu.dtb.hits,463736163
system.cpu_cluster.cpus.mmu.dtb.misses,28294
system.cpu_cluster.cpus.mmu.dtb.accesses,463764457
system.cpu_cluster.cpus.mmu.itb.hits,116291081
system.cpu_cluster.cpus.mmu.itb.misses,577
system.cpu_cluster.cpus.mmu.itb.accesses,116291658
system.cpu_cluster.cpus.mmu.l2_shared.hits,3300
system.cpu_cluster.cpus.mmu.l2_shared.misses,25571
system.cpu_cluster.cpus.mmu.l2_shared.accesses,28871
system.cpu_cluster.cpus.mmu.stage2_dtb.readHits,0
system.cpu_cluster.cpus.mmu.stage2_dtb.readMisses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.writeHits,0
system.cpu_cluster.cpus.mmu.stage2_dtb.writeMisses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.inserts,0
system.cpu_cluster.cpus.mmu.stage2_dtb.flushTlb,0
system.cpu_cluster.cpus.mmu.stage2_dtb.flushedEntries,0
system.cpu_cluster.cpus.mmu.stage2_dtb.readAccesses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.writeAccesses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.hits,0
system.cpu_cluster.cpus.mmu.stage2_dtb.misses,0
system.cpu_cluster.cpus.mmu.stage2_dtb.accesses,0
system.cpu_cluster.cpus.mmu.stage2_itb.hits,0
system.cpu_cluster.cpus.mmu.stage2_itb.misses,0
system.cpu_cluster.cpus.mmu.stage2_itb.accesses,0
simSeconds,0.135929
hostMemory,408121280
simInsts,616048631
system.cpu_cluster.cpus.cpi,0.882061
system.cpu_cluster.cpus.ipc,1.133709
system.cpu_cluster.cpus.statFuBusy::MemRead,16117660
system.cpu_cluster.cpus.statFuBusy::MemWrite,562568
system.cpu_cluster.cpus.statIssuedInstType_0::MemRead,196008142
system.cpu_cluster.cpus.statIssuedInstType_0::MemWrite,61125868
system.cpu_cluster.cpus.fuBusy,95567000
system.cpu_cluster.cpus.fuBusyRate,0.148006
system.cpu_cluster.cpus.MemDepUnit__0.insertedLoads,192842396
system.cpu_cluster.cpus.MemDepUnit__0.insertedStores,61361985
system.cpu_cluster.cpus.MemDepUnit__0.conflictingLoads,769434
system.cpu_cluster.cpus.MemDepUnit__0.conflictingStores,776248
system.cpu_cluster.cpus.commitStats0.cpi,0.882061
system.cpu_cluster.cpus.commitStats0.ipc,1.133709
system.cpu_cluster.cpus.dcache.demandHits::cpu_cluster.cpus.data,231970468
system.cpu_cluster.cpus.dcache.demandHits::total,231970468
system.cpu_cluster.cpus.dcache.overallHits::cpu_cluster.cpus.data,232046579
system.cpu_cluster.cpus.dcache.overallHits::total,232046579
system.cpu_cluster.cpus.dcache.demandMisses::cpu_cluster.cpus.data,19669497
system.cpu_cluster.cpus.dcache.demandMisses::total,19669497
system.cpu_cluster.cpus.dcache.overallMisses::cpu_cluster.cpus.data,19676761
system.cpu_cluster.cpus.dcache.overallMisses::total,19676761
system.cpu_cluster.cpus.dcache.demandAccesses::cpu_cluster.cpus.data,251639965
system.cpu_cluster.cpus.dcache.demandAccesses::total,251639965
system.cpu_cluster.cpus.dcache.overallAccesses::cpu_cluster.cpus.data,251723340
system.cpu_cluster.cpus.dcache.overallAccesses::total,251723340
system.cpu_cluster.cpus.dcache.replacements,14701047
system.cpu_cluster.cpus.dcache.tags.tagsInUse,1024
system.cpu_cluster.cpus.icache.demandHits::cpu_cluster.cpus.inst,66493651
system.cpu_cluster.cpus.icache.demandHits::total,66493651
system.cpu_cluster.cpus.icache.overallHits::cpu_cluster.cpus.inst,66493651
system.cpu_cluster.cpus.icache.overallHits::total,66493651
system.cpu_cluster.cpus.icache.demandMisses::cpu_cluster.cpus.inst,343616
system.cpu_cluster.cpus.icache.demandMisses::total,343616
system.cpu_cluster.cpus.icache.overallMisses::cpu_cluster.cpus.inst,343616
system.cpu_cluster.cpus.icache.overallMisses::total,343616
system.cpu_cluster.cpus.icache.demandAccesses::cpu_cluster.cpus.inst,66837267
system.cpu_cluster.cpus.icache.demandAccesses::total,66837267
system.cpu_cluster.cpus.icache.overallAccesses::cpu_cluster.cpus.inst,66837267
system.cpu_cluster.cpus.icache.overallAccesses::total,66837267
system.cpu_cluster.cpus.icache.replacements,304550
system.cpu_cluster.cpus.icache.tags.tagsInUse,1024
system.cpu_cluster.cpus.mmu.dtb.readHits,192232140
system.cpu_cluster.cpus.mmu.dtb.readMisses,21578
system.cpu_cluster.cpus.mmu.dtb.writeHits,60991200
system.cpu_cluster.cpus.mmu.dtb.writeMisses,3675
system.cpu_cluster.cpus.mmu.dtb.inserts,179
system.cpu_cluster.cpus.mmu.dtb.flushTlb,94
system.cpu_cluster.cpus.mmu.dtb.flushedEntries,90
system.cpu_cluster.cpus.mmu.dtb.readAccesses,192253718
