Statistic,Value
system.cpu_cluster.cpus.icache.overallHits::cpu_cluster.cpus.inst,170578358
system.cpu_cluster.cpus.icache.overallMisses::cpu_cluster.cpus.inst,597910
system.cpu_cluster.cpus.icache.demandHits::cpu_cluster.cpus.inst,170578358
system.cpu_cluster.cpus.icache.demandMisses::cpu_cluster.cpus.inst,597910
system.cpu_cluster.cpus.icache.overallAccesses::cpu_cluster.cpus.inst,171176268
system.cpu_cluster.cpus.icache.demandAccesses::cpu_cluster.cpus.inst,171176268
system.cpu_cluster.cpus.icache.replacements,592486
system.cpu_cluster.cpus.icache.tags.tagsInUse,512
system.cpu_cluster.cpus.dcache.overallHits::cpu_cluster.cpus.data,142450744
system.cpu_cluster.cpus.dcache.overallMisses::cpu_cluster.cpus.data,26453829
system.cpu_cluster.cpus.dcache.demandHits::cpu_cluster.cpus.data,141983452
system.cpu_cluster.cpus.dcache.demandMisses::cpu_cluster.cpus.data,26422042
system.cpu_cluster.cpus.dcache.overallAccesses::cpu_cluster.cpus.data,168904573
system.cpu_cluster.cpus.dcache.demandAccesses::cpu_cluster.cpus.data,168405494
system.cpu_cluster.cpus.dcache.replacements,24587123
system.cpu_cluster.cpus.dcache.tags.tagsInUse,512
system.cpu_cluster.l2.overallHits::cpu_cluster.cpus.mmu.dtb_walker,14309610
system.cpu_cluster.l2.overallMisses::cpu_cluster.cpus.mmu.dtb_walker,1108416
system.cpu_cluster.l2.demandHits::cpu_cluster.cpus.mmu.dtb_walker,14309610
system.cpu_cluster.l2.demandMisses::cpu_cluster.cpus.mmu.dtb_walker,1108416
system.cpu_cluster.l2.overallAccesses::cpu_cluster.cpus.mmu.dtb_walker,15418026
system.cpu_cluster.l2.demandAccesses::cpu_cluster.cpus.mmu.dtb_walker,15418026
system.cpu_cluster.l2.replacements,23933871
system.cpu_cluster.l2.tags.tagsInUse,16356.495306
system.cpu_cluster.l2.demandMissLatency::cpu_cluster.cpus.mmu.dtb_walker,88286658705
