Statistic,Value
simSeconds,1.445995
simInsts,340410932
hostMemory,408001456
system.cpu_cluster.cpus.cpi,16.989762
system.cpu_cluster.cpus.ipc,0.058859
system.cpu_cluster.cpus.MemDepUnit__0.insertedLoads,86579959
system.cpu_cluster.cpus.MemDepUnit__0.insertedStores,47786504
system.cpu_cluster.cpus.MemDepUnit__0.conflictingLoads,136308
system.cpu_cluster.cpus.MemDepUnit__0.conflictingStores,78907
system.cpu_cluster.cpus.statFuBusy::MemRead,35627238
system.cpu_cluster.cpus.statFuBusy::MemWrite,11586148
system.cpu_cluster.cpus.statIssuedInstType_0::MemRead,105294469
system.cpu_cluster.cpus.statIssuedInstType_0::MemWrite,47417512
system.cpu_cluster.cpus.fuBusy,73034219
system.cpu_cluster.cpus.fuBusyRate,0.184830
system.cpu_cluster.cpus.mmu.dtb.readHits,78698793
system.cpu_cluster.cpus.mmu.dtb.readMisses,7825563
system.cpu_cluster.cpus.mmu.dtb.writeHits,46055753
system.cpu_cluster.cpus.mmu.dtb.writeMisses,1332246
system.cpu_cluster.cpus.mmu.dtb.inserts,9132708
system.cpu_cluster.cpus.mmu.dtb.flushTlb,2119
system.cpu_cluster.cpus.mmu.dtb.flushedEntries,963
system.cpu_cluster.cpus.mmu.dtb.readAccesses,86524356
system.cpu_cluster.cpus.mmu.dtb.writeAccesses,47387999
system.cpu_cluster.cpus.mmu.dtb.hits,124754546
system.cpu_cluster.cpus.mmu.dtb.misses,9157809
system.cpu_cluster.cpus.mmu.dtb.accesses,133912355
system.cpu_cluster.cpus.mmu.itb.hits,128211466
system.cpu_cluster.cpus.mmu.itb.misses,275
system.cpu_cluster.cpus.mmu.itb.accesses,128211741
system.cpu_cluster.cpus.mmu.l2_shared.hits,9156994
system.cpu_cluster.cpus.mmu.l2_shared.misses,1090
system.cpu_cluster.cpus.mmu.l2_shared.accesses,9158084
