Statistic,Value
system.cpu_cluster.cpus.icache.overallHits::cpu_cluster.cpus.inst,126168225
system.cpu_cluster.cpus.icache.overallMisses::cpu_cluster.cpus.inst,574334
system.cpu_cluster.cpus.icache.demandHits::cpu_cluster.cpus.inst,126168225
system.cpu_cluster.cpus.icache.demandMisses::cpu_cluster.cpus.inst,574334
system.cpu_cluster.cpus.icache.overallAccesses::cpu_cluster.cpus.inst,126742559
system.cpu_cluster.cpus.icache.demandAccesses::cpu_cluster.cpus.inst,126742559
system.cpu_cluster.cpus.icache.replacements,569505
system.cpu_cluster.cpus.icache.tags.tagsInUse,512
system.cpu_cluster.cpus.dcache.overallHits::cpu_cluster.cpus.data,83124308
system.cpu_cluster.cpus.dcache.overallMisses::cpu_cluster.cpus.data,38292919
system.cpu_cluster.cpus.dcache.demandHits::cpu_cluster.cpus.data,82656639
system.cpu_cluster.cpus.dcache.demandMisses::cpu_cluster.cpus.data,38264687
system.cpu_cluster.cpus.dcache.overallAccesses::cpu_cluster.cpus.data,121417227
system.cpu_cluster.cpus.dcache.demandAccesses::cpu_cluster.cpus.data,120921326
system.cpu_cluster.cpus.dcache.replacements,37753582
system.cpu_cluster.cpus.dcache.tags.tagsInUse,512
system.cpu_cluster.l2.overallHits::cpu_cluster.cpus.mmu.dtb_walker,490177
system.cpu_cluster.l2.overallMisses::cpu_cluster.cpus.mmu.dtb_walker,81327
system.cpu_cluster.l2.demandHits::cpu_cluster.cpus.mmu.dtb_walker,490177
system.cpu_cluster.l2.demandMisses::cpu_cluster.cpus.mmu.dtb_walker,81327
system.cpu_cluster.l2.overallAccesses::cpu_cluster.cpus.mmu.dtb_walker,571504
system.cpu_cluster.l2.demandAccesses::cpu_cluster.cpus.mmu.dtb_walker,571504
system.cpu_cluster.l2.replacements,37462988
system.cpu_cluster.l2.tags.tagsInUse,16002.947612
system.cpu_cluster.l2.demandMissLatency::cpu_cluster.cpus.mmu.dtb_walker,6631208948
