Statistic,Value
simSeconds,1.142654
simInsts,281499847
hostMemory,407608672
system.cpu_cluster.cpus.cpi,16.223066
system.cpu_cluster.cpus.ipc,0.061641
system.cpu_cluster.cpus.MemDepUnit__0.insertedLoads,92881297
system.cpu_cluster.cpus.MemDepUnit__0.insertedStores,31704817
system.cpu_cluster.cpus.MemDepUnit__0.conflictingLoads,1174502
system.cpu_cluster.cpus.MemDepUnit__0.conflictingStores,368253
system.cpu_cluster.cpus.statFuBusy::MemRead,9102536
system.cpu_cluster.cpus.statFuBusy::MemWrite,13625609
system.cpu_cluster.cpus.statIssuedInstType_0::MemRead,94409911
system.cpu_cluster.cpus.statIssuedInstType_0::MemWrite,31597907
system.cpu_cluster.cpus.fuBusy,45233212
system.cpu_cluster.cpus.fuBusyRate,0.140773
system.cpu_cluster.cpus.mmu.dtb.readHits,92613564
system.cpu_cluster.cpus.mmu.dtb.readMisses,551352
system.cpu_cluster.cpus.mmu.dtb.writeHits,30997942
system.cpu_cluster.cpus.mmu.dtb.writeMisses,417099
system.cpu_cluster.cpus.mmu.dtb.inserts,589732
system.cpu_cluster.cpus.mmu.dtb.flushTlb,179
system.cpu_cluster.cpus.mmu.dtb.flushedEntries,381
system.cpu_cluster.cpus.mmu.dtb.readAccesses,93164916
system.cpu_cluster.cpus.mmu.dtb.writeAccesses,31415041
system.cpu_cluster.cpus.mmu.dtb.hits,123611506
system.cpu_cluster.cpus.mmu.dtb.misses,968451
system.cpu_cluster.cpus.mmu.dtb.accesses,124579957
system.cpu_cluster.cpus.mmu.itb.hits,126717595
system.cpu_cluster.cpus.mmu.itb.misses,3488
system.cpu_cluster.cpus.mmu.itb.accesses,126721083
system.cpu_cluster.cpus.mmu.l2_shared.hits,960588
system.cpu_cluster.cpus.mmu.l2_shared.misses,11351
system.cpu_cluster.cpus.mmu.l2_shared.accesses,971939
